nome,endereco
3G CELL LTDA,"Rua José de Oscar de Abreu Sampaio, 397  - Rua José de Oscar de Abreu Sampaio, 397 - Jardim Anália Franco - SP"
A. ALBERTO ELIAS CHENU – ME,"Alameda França, 435 - Jardim Paulista - Unidade 41 - São Paulo - SP - SP"
ADONAY ALVES SIQUEIRA VIEIRA,"""R MONTE SINAI, 55 - CIDADE ANTONIO ESTEVAO DE CARVALHO"" - São Paulo - SP - SP"
estado,cidade,title,endereco
PR,Curitiba,Unidade de Negócio Curitiba (Alto da XV),"Rua Mal Deodoro, 1600, Alto da XV   CEP: 80045-090"
PR,Curitiba,Unidade de Negócio Curitiba (Ecoville),"R. Prof. João Falarz, 1765 - Campo Comprido Ecoville, CEP: 81280-330"
PR,Curitiba,Unidade de Negócio Curitiba (Rebouças),"Rua Lamenha Lins, 1547, Rebouças  CEP: 80250-020"
PR,Curitiba,Unidade de Negócio Curitiba (Ahú),"Avenida Anita Garibaldi, 2319, Lj 01, Ahú    CEP: 82200-530"
PR,Curitiba,Unidade de Negócio Portão,"Avenida Rep. Argentina, 2557 - Portão   80610-260"
PR,Curitiba,Unidade de Negócio Bacacheri,"Rua Estados Unidos, 1205, Bacacheri, 82510-050"
PR,Curitiba,Unidade de Negócio CWB - Uberaba - PR,"Av. Senador Salgado Filho, n° 4566, loja 13, Express Mall Salgado Filho, Bairro Uberaba, CEP n° 81570-001 em Curitiba - PR"
PR,Curitiba,Unidade de Negócio Água Verde,"R. Castro, 730, loja 3 - Água Verde, Curitiba - PR, 80620-300"
PR,Curitiba,Unidade Sítio Cercado,"R. Izaac Ferreira da Cruz, 4615 - Sítio Cercado, Curitiba – PR"
PR,Curitiba,UNIDADE JARDIM SOCIAL,"R. Fagundes Varela, n.º 1722, LOJA 09 - Jardim Social, Curitiba - PR, 82590-300"
PR,Curitiba,UNIDADE SANTA CÂNDIDA,"Rua Fernando de Noronha, 1089 - Santa Cândida, Curitiba - PR, 82650-145"
PR,Curitiba,UNIDADE CURITIBA CENTRO,"Rua Vicente Machado, 1412 - Centro, Curitiba - PR, 80420-011"
PR,Curitiba,CWB ESTAÇÃO ,"Av. Silva Jardim, nº 465 - Rebouças, Curitiba - PR, 80230-000. "
PR,Fazenda Rio Grande,Unidade de Negócio Fazenda Rio Grande,"Avenida Araucárias, 142 - loja 37 - Eucaliptos  CEP: 83820-071"
PR,Foz do Iguaçu,Unidade de Negócio Foz do Iguaçu,"Rua Santos Dumont, 1150, Centro, Foz do Iguaçu - PR , 85851-040"
PR,Francisco Beltrão,Unidade de Negócio Francisco Beltrão,"Rua Tenente Camargo, 1312, Presidente Kennedy   CEP: 85605-090"
PR,Guarapuava,Unidade de Negócio Guarapuava,"R. Romeu Karpinski Rocha, 3736 - Bonsucesso, Guarapuava - PR, 85035-310"
PR,Guaratuba,Unidade de Negócio Guaratuba,"Avenida José Nicolau Abagge, 543, CEP: 83280-000"
PR,Irati,Unidade de Negócio Irati,Rua Dr. Correia 159 – Centro CEP 84500-021 Irati -PR
PR,Jaguariaiva,Unidade de Negócio Jaguariaiva,"Av. Governador Paulo da Cruz Pimentel, nº 374 CEP: 84.200-000 Bairro: Jardim Nossa Senhora de Fátima. Jaguariaiva - PR"
PR,Londrina,Unidade de Negócio Londrina,"Avenida Bandeirantes, 1154 loja 02 Jardim Ipiranga CEP:86010-020"
PR,Londrina,Unidade de Negócio Londrina Centro,"Rua Paranaguá nº 1266 - loja comercial nº 02, CEP 86020-031"
PR,Marechal Cândido Rondon,Unidade de Negócio Marechal Candido Rondon,"Rua Independencia, 213 CEP 85960-000"
PR,Maringá,Unidade de Negócio Maringa 1,"Av. Advogado Horácio Raccanello Filho, 4660 Salas: 23 e 24, Zona 10 CEP: 87030-405"
PR,Maringá,Unidade de Negócio Maringá - Centro,"Rua Benjamin Constant, nº 94 sala terrea, zona 07. CEP - 87020-060"
PR,Maringá,Unidade de Negócio Maringá Carlos Borges,"Av. Carlos Correa Borges, 1960 Loja 04 - Maringá, PR, 87060-025"
PR,Matinhos,Unidade de Negócio Matinhos,"Av. Juscelino Kubitscheck de Oliveira, 975, Matinhos - PR, 83260-000"
PR,Medianeira,Unidade de Negócio Medianeira,"Avenida Rio Grande do Sul, n°2355, Sala 01 Centro, CEP: 85884-000"
PR,Paranaguá,Unidade de Negócio Paranagua,"R. dos Expedicionários, 1160 - Ponta do Caju, Paranaguá - PR, 83206-450"
PR,Paranavaí,Unidade de Negócio Paranavai,"R. Amapá, 2011 - Centro - Paranavaí - PR, 87705-110"
PR,Pato Branco,Unidade de Negócio Pato - Branco,"Avenida Tupi, 1381 CEP: 85504-014"
PR,Pinhais,Unidade de Negócio Pinhais,"Avenida Camilo di Lellis, 819, Centro  CEP: 83323-000"
PR,Piraquara,Unidade de Negócio Piraquara,"R. Barão do Cerro Azul, 1869 - Sala 16 - Centro, Piraquara - PR, 83301-000"
PR,Ponta Grossa,Unidade de Negócio Ponta Grossa,"Avenida Bonifácio Vilela, 415, Sala 02, Centro, CEP: 84010-330"
PR,São José dos Pinhais,Unidade de Negócio São Jose dos Pinhais,"Rua Joinville, 3503, Loja 02, São Pedro, CEP: 83020-000"
PR,São Pedro,Unidade de Negócio São José dos Pinhais 2,"Rua AVENIDA DAS TORRES - Nº: 3595, São Pedro - 83005-450"
PR,Sarandi,Unidade de Negócio Sarandi,"Avenida Londrina, 165, Centro  CEP: 87111-220"
PR,Telêmaco Borba,Unidade de Negócio Telemaco Borba,"Avenida Desembargador Edmundo Mercer Junior, 294, Centro, CEP:84261-010"
PR,Toledo,Unidade de Negócio Toledo,"R. Rui Barbosa, 998 - Centro, Toledo - PR, 85900-040"
PR,Umuarama,Unidade de Negócio Umuarama,"Rua José Honório Ramos, 4067, Zona II  CEP: 87502-230"
PR,União da Vitória,Unidade de Negócio União da Vitoria,"Rua Clotário Portugal, 1050 - Sala 01 - Centro CEP: 84600-220"
Rio Grande do Sul,Bento Gonçalves,Bento Gonçalves - RS,"Senador Joaquim Pedro Salgado Filho nº468, Sala 01 CEP 95703-100"
Rio Grande do Sul,Garibaldi,Garibaldi,"Avenida Independência nº1085, Sala 02, Centro, CEP  95720000"
RJ,Campos dos Goytacazes,Campos dos Goytacazes,"Rua Tenente Cel Cardoso, 1031, loja 1, Parque Tamandaré, Campos dos Goytacazes "
RJ,Jacarepaguá,Unidade de Negócio Jacarepaguá,"Estr. do Gabinal, 313 - 103 b - Freguesia (Jacarepaguá)Rio de Janeiro - RJ, 22760-151"
RJ,Niterói,Unidade de Negócio Niterói,"Rua Miguel de Frias, 77, 18º Andar, Sala 1805  Icaraí, CEP: 24220-008"
RJ,Nova Friburgo,Unidade de Negócio Nova Friburgo,"Av. Conselheiro Július Arp, 80 - Centro, Nova Friburgo - RJ, 28623-000"
RJ,Nova Iguaçu,Unidade de Negócio Nova Iguaçu - RJ,"AV DOUTOR MARIO GUIMARAES, 428, CENTRO -  NOVA IGUAÇU - RJ"
RJ,Petrópolis,Petrópolis,"Av. Ipiranga, 439 - Sobreloja 01, 02, 03 e 04 - Centro, Petrópolis - RJ, 25610-150"
RJ,Rio de Janeiro,Unidade de Negócio Rio de Janeiro (Arpoador),"Rua Visconde de Pirajá 177, 7° andar, Ipanema, RJ, 22.410-001"
RJ,Rio de Janeiro,Unidade de Negócio São Conrado,"Estrada da Gávea, 696, sala 309 a 312, São Conrado, Rio de Janeiro - RJ, CEP 22610-002"
RJ,Rio de Janeiro,Unidade de Negócio RJ - Barra,"Av. das Américas, 2480 - Bloco 1 (grupo 208) Barra da Tijuca, CEP: 22640-101"
RJ,Rio de Janeiro,Unidade de Negócio Leblon,"Av. Ataulfo de Paiva 1251, Leblon  CEP:22440-034"
RJ,Rio de Janeiro,Unidade de Negócio Américas - RJ,"Avenida das Américas, 12.900, BI 2,Loja 104 Recreio, Recreio dos Bandeirantes, CEP 22790-702"
RJ,Rio de Janeiro,Unidade de Negócio Rio de Janeiro (Centro),"Av Nilo Peçanha 50, Sala 2902,  Centro, CEP: 20020-906"
RJ,Rio de Janeiro,Unidade de Negócio Barra Olímpica - RJ,"Av. Embaixador Abelardo Bueno nº 1, Ed. Ayrton Senna 2 (Ala C) - salas 703, 704, 705, 706 - Barra Olímpica - Rio de Janeiro, 22775-040 -Dimension Office & Park"
RJ,Rio de Janeiro,CAMPO GRANDE - RJ,"Rua Augusto de Vasconcelos, 544, Loja 111 e 112"
RJ,São Gonçalo,Unidade de Negócio São Gonçalo - RJ,"Estr. Raul Veiga, 351. Sala 501 - Raul Veiga - São Gonçalo - RJ CEP 24710-480 "
RJ,Teresópolis,Unidade de Negócio Teresopolis,"Av. Feliciano Sodré, 460 - Várzea, Teresópolis - RJ, 25963-082"
RN,Natal,Unidade de Negócio Natal,"Avenida Hermes da Fonseca, 1313, loja 02, Petrópolis  Natal - RN  CEP:59014-555"
RO,Ariquemes,Unidade de Negócios Ariquemes,"Travessa Alemanha nº 1400, Setor 01 - CEP: 76870-017"
RO,Cacoal,CACOAL,"RUA JOSE DO PATROCÍNIO, 170 - 76.963-862"
RO,JI-PARANÁ,Unidade de Negócio JI-Paraná,"DOIS DE ABRIL, 2287 SALA 01 Bairro: CENTRO JI-PARANÁ - RO"
RO,Porto Velho,Unidade de Negócio Porto Velho,"Rua Abunã, 1454 Bairro Olaria CEP 76801-273"
RO,Vilhena,Unidade de Negócio Vilhena,"Avenida Benno Luiz Graebin, 4289, Sala 02, Jardim Oliveiras - CEP: 76980-663"
RS,Bagé,Unidade de Negócio Bage,"Rua General Neto, 329 - Sala 2 - Térreo -  Centro,  CEP: 96400-380 "
